"longitude","latitude","year"
26.8910680301179,11.5029272131505,2011
34.9579392815112,17.4946901582277,2004
30.717891140467,17.3419765599274,2022
29.9094073847595,17.5036733110689,2022
35.2004844082235,20.2794675389982,2014
29.9094073847595,17.692319520734,2011
28.3373556375503,9.67934718638784,2022
29.4692328955409,12.9671811262653,2011
36.9611823650977,17.9797804116522,2005
31.3736612978743,16.1921329962544,2022
26.6934386676116,18.2762244554117,2015
32.9906288092894,16.5694254155846,2013
22.4264410680439,13.5241366024194,2013
36.6018562514499,21.096934447547,2011
28.5709176114214,13.6319344365137,2011
35.407096923571,19.9740403423976,2001
33.5655505911259,13.5600692137842,2002
25.0854543090376,13.3444735455955,2011
34.5087816394514,12.446158261476,2024
22.0581318015549,12.9581979734241,2010
23.6481498544464,13.9014290217496,2003
25.4088478113207,13.7487154234493,2022
30.484329166596,12.1047984535106,2000
33.7362304951086,10.4159657193659,2007
33.5655505911259,12.814467527965,2020
31.0951835597972,19.6506468401145,2005
36.5749067929263,16.3358634417135,2001
34.1494555258036,20.9801534606114,2018
35.0567539627643,19.902175119668,2001
31.7599368700457,10.514780400619,2008
36.3952437361024,15.4914470746411,2002
27.1425963096713,13.3265072399131,2005
23.630183548764,13.7666817291317,2022
24.9147744050549,16.1023014678424,2013
34.6974278491165,12.3742930387464,2004
27.1066636983066,19.0397924469133,2013
31.2299308524152,12.6168381654587,2002
26.1634326499811,13.2546420171835,2022
35.8832040241543,22.067114954396,2005
35.6047262860772,19.6147142287498,2002
27.5288718818427,16.6682400968377,2001
37.3833905486339,17.7641847434635,2003
32.2450271234702,13.8475301047024,2001
29.4782160483821,17.4857070053865,2001
27.2863267551305,14.0451594672087,2004
28.0409115937909,16.0394193979541,2011
31.5802738132218,18.0965613985878,2008
32.5953700842768,15.8328068826066,2001
29.6039801881588,13.092945266042,2004
31.6970548001573,19.1116576696428,2010
28.3373556375503,10.9459717369964,2011
31.5533243546982,13.8205806461788,2011
30.1070367472658,18.5457190406475,2001
34.9579392815112,16.0753520093188,2013
24.2140884834417,12.0239500779398,2013
32.8918141280363,16.0663688564776,2011
27.124630003989,15.9406047167009,2006
29.4602497426997,18.9409777656601,2000
23.8008634527467,12.2934446631757,2013
37.1498285747628,20.1177707878567,2002
